book,chapter,footnote
1869. (II.),Narodiť - som sa narodil,"[1] tajné čáky - tajné nádeje (Kál.)"
1869. (II.),"Sivé voly, sivé, s hodbabnou sivinou","[2] Járom, volky, járom - do jarma (volanie na voly)"
1869. (II.),Tie vaše štipce vŕzgajú,"[3] štipce - závory na dverách (Kál.)"
1869. (II.),"Hviezdy, hviezdy, vysoké vy!","[4] hálka - okrúhla strieška na vrchole štítu domu (Kál.)"
1869. (II.),Živena zlatoklasnatá,"[5] Živena zlatoklasnatá - báseň, napísaná k založeniu spolku Živena, ktorého prvé valné zhromaždenie bolo 4. aug. 1869"
1869. (II.),Živena zlatoklasnatá,"[6] zbodla - zošila"
1869. (II.),Živena zlatoklasnatá,"[7] sprostnosť - prostota"
1869. (II.),Nad mlynom úpusta,"[8] dôpusta - sliedič (človek, čo sliedi za niekým), ale i hať na potoku"
1869. (II.),"Ospievané je už, už všetko","[9] vomej - česky oměj, slovensky prilbica (Aconitum), okrasná rastlina prudko jedovatá"
1869. (II.),"Ospievané je už, už všetko","[10] gloncky - halušky, strapačky (Kál.)"
1869. (II.),Ako sneh biela kosička,"[11] kosička - čiastka ženského kroja, šikmo prestrihnutá šatka (Kál.)"
